strain	virus	accession	date	state	county	city	db	segment	authors	url	title	journal	paper_url	isolate	species	voltine_genus	generation	lineage_1	lineage_2	lineage_3
CT|Yale-JC0428|2011	JCV		2011-06-27	Connecticut	New-Haven_CT	New-Haven_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0429|2011	JCV		2011-06-27	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0430|2011	JCV		2011-06-28	Connecticut	Windham_CT	Hampton_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0431|2011	JCV		2011-06-28	Connecticut	Middlesex_CT	Killingworth_CT		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0432|2011	JCV		2011-07-05	Connecticut	Fairfield_CT	Stamford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0433|2011	JCV		2011-07-05	Connecticut	Fairfield_CT	Bridgeport_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0434|2011	JCV		2011-07-06	Connecticut	New-London_CT	Lyme_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0435|2011	JCV		2011-07-06	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0436|2011	JCV		2011-07-06	Connecticut	Hartford_CT	South-Windsor_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0438|2011	JCV		2011-07-12	Connecticut	New-London_CT	Franklin_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0439|2011	JCV		2011-07-13	Connecticut	New-Haven_CT	Bethany_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0440|2012	JCV		2012-06-12	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0441|2012	JCV		2012-06-13	Connecticut	New-Haven_CT	Guilford_CT		M	Bourgikos						Culex_salinarius	Multi_Culex	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0442|2012	JCV		2012-06-18	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0443|2012	JCV		2012-06-18	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0444|2012	JCV		2012-06-19	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0445|2012	JCV		2012-07-02	Connecticut	Windham_CT	Hampton_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0446|2012	JCV		2012-07-12	Connecticut	Fairfield_CT	Weston_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0447|2012	JCV		2012-07-18	Connecticut	New-Haven_CT	Guilford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0448|2012	JCV		2012-07-24	Connecticut	Fairfield_CT	Weston_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0451|2012	JCV		2012-08-02	Connecticut	Fairfield_CT	Easton_CT		M	Bourgikos						Aedes_thibaulti	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0453|2013	JCV		2013-06-04	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0454|2013	JCV		2013-06-17	Connecticut	Tolland_CT	Tolland_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0455|2013	JCV		2013-06-17	Connecticut	Tolland_CT	Tolland_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0456|2013	JCV		2013-06-18	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0457|2013	JCV		2013-06-18	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0458|2013	JCV		2013-06-24	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_excrucians	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0459|2013	JCV		2013-06-25	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0461|2013	JCV		2013-07-09	Connecticut	New-Haven_CT	Branford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0462|2013	JCV		2013-07-10	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0463|2013	JCV		2013-07-22	Connecticut	Hartford_CT	Farmington_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
CT|Yale-JC0464.1|2013	JCV		2013-08-12	Connecticut	Fairfield_CT	Stratford_CT		M	Bourgikos						Anopheles_quadrimaculatus	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0465|2013	JCV		2013-08-13	Connecticut	Fairfield_CT	Norwalk_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0469|2014	JCV		2014-06-10	Connecticut	Middlesex_CT	Chester_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0470|2014	JCV		2014-06-16	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0471|2014	JCV		2014-06-16	Connecticut	Fairfield_CT	Stamford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0472|2014	JCV		2014-06-17	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0473|2014	JCV		2014-06-24	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0474|2014	JCV		2014-06-30	Connecticut	New-London_CT	Lyme_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0475|2014	JCV		2014-06-30	Connecticut	Fairfield_CT	Norwalk_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0476|2014	JCV		2014-07-07	Connecticut	Fairfield_CT	Fairfield_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0477|2014	JCV		2014-07-09	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0478|2014	JCV		2014-07-10	Connecticut	Windham_CT	Plainfield_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0479|2014	JCV		2014-07-10	Connecticut	Fairfield_CT	Ridgefield_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0480|2014	JCV		2014-07-10	Connecticut	Middlesex_CT	Westbrook_CT		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0482|2014	JCV		2014-07-14	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0483|2014	JCV		2014-07-14	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0484|2014	JCV		2014-07-15	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0486|2014	JCV		2014-07-22	Connecticut	Fairfield_CT	Danbury_CT		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	B	B	B
CT|Yale-JC0487|2014	JCV		2014-08-07	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0488|2014	JCV		2014-08-02	Connecticut	Fairfield_CT	Redding_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0489|2014	JCV		2014-08-14	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0490|2014	JCV		2014-08-18	Connecticut	Litchfield_CT	Litchfield_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0492|2015	JCV		2015-06-09	Connecticut	Middlesex_CT	Chester_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0493|2015	JCV		2015-06-10	Connecticut	New-Haven_CT	Guilford_CT		M	Bourgikos						Aedes_cinereus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0494|2015	JCV		2015-06-11	Connecticut	Fairfield_CT	Stamford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0495|2015	JCV		2015-06-11	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0496|2015	JCV		2015-06-22	Connecticut	Middlesex_CT	Cromwell_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0497|2015	JCV		2015-06-22	Connecticut	New-Haven_CT	Guilford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0498|2015	JCV		2015-06-22	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0499|2015	JCV		2015-06-24	Connecticut	New-London_CT	Groton_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0500|2015	JCV		2015-06-25	Connecticut	New-London_CT	Ledyard_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0501|2015	JCV		2015-07-01	Connecticut	Fairfield_CT	Stratford_CT		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0502|2015	JCV		2015-07-29	Connecticut	Hartford_CT	West-Hartford_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0503|2016	JCV		2016-06-08	Connecticut	Middlesex_CT	Chester_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0504|2016	JCV		2016-06-08	Connecticut	New-Haven_CT	Orange_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0505|2016	JCV		2016-06-08	Connecticut	New-Haven_CT	Orange_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0506|2016	JCV		2016-06-08	Connecticut	New-Haven_CT	Orange_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0507|2016	JCV		2016-06-09	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0511|2016	JCV		2016-06-15	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0513|2016	JCV		2016-06-15	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0514|2016	JCV		2016-06-15	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0515|2016	JCV		2016-06-16	Connecticut	Windham_CT	Plainfield_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0516|2016	JCV		2016-06-16	Connecticut	Windham_CT	Windham_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0517|2016	JCV		2016-06-20	Connecticut	Fairfield_CT	Ridgefield_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0518|2016	JCV		2016-06-22	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0519|2016	JCV		2016-06-22	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0520|2016	JCV		2016-06-22	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0521|2016	JCV		2016-06-29	Connecticut	Middlesex_CT	Chester_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0522|2016	JCV		2016-06-29	Connecticut	New-Haven_CT	Orange_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	none	none	none
CT|Yale-JC0523|2016	JCV		2016-07-07	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0524|2016	JCV		2016-07-18	Connecticut	Fairfield_CT	Fairfield_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0525|2016	JCV		2016-07-19	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0526|2016	JCV		2016-07-19	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0527|2016	JCV		2016-07-26	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0528|2016	JCV		2016-09-01	Connecticut	Fairfield_CT	Bethel_CT		M	Bourgikos						Anopheles_quadrimaculatus	Multi_Anopheles	Multivoltine	none	none	none
CT|Yale-JC0529|2017	JCV		2017-06-07	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	none	none	none
CT|Yale-JC0530.1|2017	JCV		2017-06-08	Connecticut	Tolland_CT	Willlington_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0532.2|2017	JCV		2017-06-15	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0533.1|2017	JCV		2017-06-15	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0535.1|2017	JCV		2017-06-15	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0536.1|2017	JCV		2017-06-19	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0537.1|2017	JCV		2017-06-19	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0538|2017	JCV		2017-06-21	Connecticut	Windham_CT	Plainfield_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0541|2017	JCV		2017-06-29	Connecticut	Tolland_CT	Willlington_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0542|2017	JCV		2017-07-05	Connecticut	Hartford_CT	New-Britain_CT		M	Bourgikos						Aedes_excrucians	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0543|2017	JCV		2017-07-05	Connecticut	Hartford_CT	New-Britain_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0544|2017	JCV		2017-07-05	Connecticut	Fairfield_CT	Ridgefield_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0545|2017	JCV		2017-07-05	Connecticut	Fairfield_CT	Shelton_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0546|2017	JCV		2017-07-11	Connecticut	Hartford_CT	Wethersfield_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0547|2017	JCV		2017-07-12	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0548|2017	JCV		2017-07-20	Connecticut	Hartford_CT	Wethersfield_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0549.1|2017	JCV		2017-07-27	Connecticut	New-Haven_CT	Meriden_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	B	B	B.0
CT|Yale-JC0550|2017	JCV		2017-08-08	Connecticut	Fairfield_CT	Shelton_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0551|2017	JCV		2017-08-15	Connecticut	Fairfield_CT	Stratford_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0552|2017	JCV		2017-08-24	Connecticut	Fairfield_CT	Easton_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0553|2017	JCV		2017-08-31	Connecticut	New-Haven_CT	Waterbury_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	B	B	B.0
CT|Yale-JC0554|2018	JCV		2018-06-04	Connecticut	New-Haven_CT	Madison_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0555|2018	JCV		2018-06-05	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0556|2018	JCV		2018-06-05	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0557|2018	JCV		2018-06-05	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0558|2018	JCV		2018-06-06	Connecticut	Tolland_CT	Tolland_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0559|2018	JCV		2018-06-07	Connecticut	Hartford_CT	West-Hartford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0560|2018	JCV		2018-06-07	Connecticut	Fairfield_CT	Weston_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0561|2018	JCV		2018-06-11	Connecticut	Fairfield_CT	Ridgefield_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0562|2018	JCV		2018-06-12	Connecticut	Middlesex_CT	Chester_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0563|2018	JCV		2018-06-14	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0564|2018	JCV		2018-06-14	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0565|2018	JCV		2018-06-19	Connecticut	New-Haven_CT	New-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0566|2018	JCV		2018-06-19	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0567|2018	JCV		2018-06-25	Connecticut	Middlesex_CT	Cromwell_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0568|2018	JCV		2018-06-25	Connecticut	Middlesex_CT	Cromwell_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0569|2018	JCV		2018-06-26	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0570|2018	JCV		2018-06-26	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0571|2018	JCV		2018-06-27	Connecticut	Hartford_CT	Manchester_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0572|2018	JCV		2018-06-27	Connecticut	Hartford_CT	Manchester_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0573|2018	JCV		2018-06-27	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0575|2018	JCV		2018-06-28	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0577|2018	JCV		2018-06-28	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Aedes_excrucians	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0578|2018	JCV		2018-07-02	Connecticut	Fairfield_CT	Shelton_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0580|2018	JCV		2018-07-12	Connecticut	New-Haven_CT	New-Haven_CT		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0581|2018	JCV		2018-07-12	Connecticut	New-London_CT	Waterford_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0582|2018	JCV		2018-07-12	Connecticut	Hartford_CT	West-Hartford_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0583|2018	JCV		2018-07-16	Connecticut	Fairfield_CT	Ridgefield_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0584|2018	JCV		2018-07-16	Connecticut	Fairfield_CT	Ridgefield_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0585|2018	JCV		2018-07-16	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0586|2018	JCV		2018-07-17	Connecticut	Fairfield_CT	Monroe_CT		M	Bourgikos						Aedes_excrucians	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0587|2018	JCV		2018-07-18	Connecticut	New-Haven_CT	Meriden_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0588|2018	JCV		2018-07-19	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0589|2018	JCV		2018-07-23	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	B	B	B.0
CT|Yale-JC0590|2018	JCV		2018-07-23	Connecticut	Hartford_CT	West-Hartford_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	none	none	none
CT|Yale-JC0591|2018	JCV		2018-07-25	Connecticut	New-Haven_CT	Waterbury_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0592|2018	JCV		2018-07-26	Connecticut	New-Haven_CT	Cheshire_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0593|2018	JCV		2018-07-30	Connecticut	Litchfield_CT	Litchfield_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0594|2018	JCV		2018-07-31	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0595|2018	JCV		2018-08-01	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0596|2018	JCV		2018-08-01	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
