strain	virus	accession	date	state	county	city	db	segment	authors	url	title	journal	paper_url	isolate	species	voltine_genus	generation	lineage_1	lineage_2	lineage_3
CT|Yale-JC0177|2005	JCV		2005-06-22	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0178|2005	JCV		2005-06-27	Connecticut	New-Haven_CT	Guilford_CT		M	Bourgikos						Aedes_cinereus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0179|2005	JCV		2005-06-27	Connecticut	New-Haven_CT	Guilford_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0183|2005	JCV		2005-06-29	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_sollicitans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0184.1|2005	JCV		2005-06-29	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
ND|Yale-JC0186|2005	JCV		2005-07-02	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	B	B	B
ND|Yale-JC0187|2005	JCV		2005-07-06	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0188|2005	JCV		2005-07-06	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Culiseta_inornata	Multi_Culiseta	Multivoltine	A	A.2	A.2.0
CT|Yale-JC0189|2005	JCV		2005-07-07	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B
ND|Yale-JC0190|2005	JCV		2005-07-08	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.2	A.2.0
ND|Yale-JC0192|2005	JCV		2005-07-08	North-Dakota	Cass_ND	Argusville_ND		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0193|2005	JCV		2005-07-08	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0194|2005	JCV		2005-07-11	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0195|2005	JCV		2005-07-12	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0196|2005	JCV		2005-07-12	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0197|2005	JCV		2005-07-12	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
CT|Yale-JC0198|2005	JCV		2005-07-13	Connecticut	New-Haven_CT	Woodbridge_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
ND|Yale-JC0200|2005	JCV		2005-07-18	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0201|2005	JCV		2005-07-19	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
