# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Fri Mar 20 11:52:34 CET 2026 [seed=1774003941640]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
410000	-33950.67776547942	-3924.241278809731	-30026.43648666969	65.02818420500631	1957.5170212744458	1855.2949071331072	228.05824934605337	23.489432485781055	0.36140299168819784	0.16095896149970124	0.18340301837980647	0.29423502843229427	7.050904265610799E-5	4.747090003917953E-5	7.06868155102454E-5	0.5844352692140555	0.04901340316249728	-30026.43648666969	-2550.992242523197	-1365.625693389965
420000	-33881.37949414456	-3933.4479884590155	-29947.931505685545	62.78287901169863	1959.7623264677534	1905.9975807070907	248.05354555098597	19.49913750930625	0.36273149655597875	0.1567105882558244	0.18811075387030535	0.2924471613178913	6.897010393306311E-5	5.822722829674765E-5	6.633259957021794E-5	0.7055672808088982	-0.0691496809868102	-29947.931505685545	-2550.992242523197	-1375.1843420092005
430000	-33838.20172557891	-3944.4214668162713	-29893.780258762636	54.63833344296893	1967.906872036483	1927.4351287794716	244.19538369331661	21.42423266443482	0.3570576334401171	0.15740002204698963	0.18047157756592336	0.3050707669469697	7.022162483012169E-5	4.574818005938135E-5	6.935525850037057E-5	0.5429181042423844	-0.07217318289498784	-29893.780258762636	-2550.992242523197	-1385.9543674334209
440000	-33815.40117323678	-3939.6874658645665	-29875.713707372215	54.04089018025252	1968.5043152991996	1919.8511884064824	251.13291717382947	22.937446960139255	0.36519679093082075	0.1525913942585883	0.1875740865761006	0.29463772823449	6.330509688054046E-5	4.0902922599544914E-5	6.19870499152378E-5	0.5333359650847487	-0.041763529443292646	-29875.713707372215	-2550.992242523197	-1381.0892284639049
450000	-33808.745504430066	-3954.117562434842	-29854.627941995226	52.40700172021175	1970.1382037592402	1984.790783522238	256.0257488115302	21.70162201285306	0.3565427281553133	0.15750592918834688	0.18576752307715044	0.30018381957918916	6.663206667008743E-5	4.815118802777717E-5	6.469775599874828E-5	0.5710293528743134	0.16378345671189165	-29854.627941995226	-2550.992242523197	-1395.6054422757632
460000	-33757.22950206097	-3950.4645149453672	-29806.7649871156	50.41006853789729	1972.1351369415547	1956.5490203958286	273.0210653581919	19.445948116569078	0.36354520597739304	0.15837776969289144	0.1819955688459825	0.2960814554837328	6.84800276950231E-5	3.7596985060532435E-5	6.851304805467807E-5	0.4749706817113344	0.0013490109379707157	-29806.7649871156	-2550.992242523197	-1392.1004542636201
470000	-33708.35489235968	-3948.558565977888	-29759.7963263818	52.4471323908559	1970.0980730885963	1977.5004361872548	280.45293405108714	17.93107852533848	0.3605067549897764	0.164621093198296	0.1777989135589842	0.29707323825294313	6.01940711998879E-5	2.171670862492469E-5	6.072290108427136E-5	0.33038992366366393	0.016772439056102966	-29759.7963263818	-2550.992242523197	-1390.426182409904
480000	-33710.69601718369	-3963.3071909571486	-29747.38882622654	56.273430607922904	1966.2717748715293	2077.7149357629833	290.5349394560952	21.23304480022982	0.3574386502281971	0.15698376723800825	0.18430843596870006	0.30126914656509424	6.362709080294011E-5	2.460391161894005E-5	6.055077415494955E-5	0.36097369650878713	-0.07997818190480624	-29747.38882622654	-2550.992242523197	-1404.7310127305905
490000	-33714.74238926095	-3969.081533503144	-29745.66085575781	55.147842536656924	1967.397362942795	2125.716596576438	311.5631704093955	19.605860699038537	0.3645848236726644	0.15864686799719122	0.1860141255829694	0.2907541827471746	5.806273893443941E-5	1.9428917453062886E-5	5.740965987079846E-5	0.31207939567389703	0.04492420128339121	-29745.66085575781	-2550.992242523197	-1410.6630714844339
500000	-33722.8873021184	-3972.0309869027988	-29750.856315215602	62.15539726664222	1960.3898082128098	2148.3535905058093	325.8329465359843	23.979460444378695	0.3620542769075888	0.1565805003711339	0.18764358556029043	0.2937216371609865	6.169875296663554E-5	1.7960374404323307E-5	6.124912283833402E-5	0.29942629334801263	0.03464001750906937	-29750.856315215602	-2550.992242523197	-1413.0503400981204
510000	-33717.29479352248	-3968.668835771829	-29748.625957750653	66.06391108117494	1956.4812943982772	2138.412438646715	306.715417481894	21.343538372211082	0.3653809455223044	0.15473362966531645	0.18234945823975024	0.2975359665726285	5.797077716377235E-5	2.070986479474473E-5	5.723841624732157E-5	0.3648190305024301	-7.778430558685707E-4	-29748.625957750653	-2550.992242523197	-1410.0795004336414
520000	-33684.23946713488	-3963.2319373582013	-29721.00752977668	68.90008534489608	1953.645120134556	2120.295649422322	293.08048863981685	21.77753598164098	0.35795794655782115	0.15134306842319634	0.19004810661645938	0.30065087840252264	5.856821151790267E-5	1.8840022343839363E-5	5.846751210091052E-5	0.3270405980326062	0.0484835691433231	-29721.00752977668	-2550.992242523197	-1404.6452644845472
530000	-33691.04695626335	-3955.269427447981	-29735.777528815368	68.85804201848872	1953.6871634609633	2087.961683557172	269.83980276002313	23.58699816180125	0.3544361272490516	0.15268115931082712	0.18265004718937092	0.31023266625074986	5.6956669873097755E-5	1.7738559186054376E-5	5.70443816332713E-5	0.31478328570651154	0.07282598414132732	-29735.777528815368	-2550.992242523197	-1396.611908262666
540000	-33690.838134148136	-3959.766429157369	-29731.071704990765	76.73022489358627	1945.814980585866	2126.838947559658	261.18827176679434	22.09751546383747	0.35598739669067336	0.156804350973345	0.18752451937229023	0.29968373296369083	6.03210912694967E-5	2.2537133454916868E-5	5.880650095134263E-5	0.37573666013938084	0.09350511661153682	-29731.071704990765	-2550.992242523197	-1401.2753327977075
550000	-33695.05036695066	-3965.146089662464	-29729.90427728819	77.37931738724112	1945.165888092211	2170.8189191871443	284.8041501799001	20.197433405698657	0.36334608179543487	0.15290363275969954	0.18644341757993652	0.29730686786492844	6.02075288765078E-5	1.8619125510591882E-5	5.970543585990776E-5	0.3175017508777845	0.14568679250322772	-29729.90427728819	-2550.992242523197	-1406.7615855808353
560000	-33705.18318833189	-3964.6967326741096	-29740.48645565778	76.36955118858768	1946.1756542908645	2164.2791756291135	306.25588930525885	20.695772790476656	0.3588920215830204	0.15388401539754495	0.19003471689916582	0.2971892461202682	6.617299715772979E-5	2.8240637650675995E-5	6.308037786811504E-5	0.40799051839572464	-0.07830437486788198	-29740.48645565778	-2550.992242523197	-1406.1010887464747
