# BEAST v10.5.0-beta2 Prerelease #2b4f798d6
# Generated Tue Mar 11 13:03:19 EDT 2025 [seed=1741712595321]
# -beagle_order 1 -overwrite JCV.twoEmperical.xml
state	joint	prior	likelihood	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusion.prior_a	location.diffusion.prior_b	location.precisionPrior	location.traitLikelihood_a	location.traitLikelihood_b
100000	-428.39944307758634	-571.7583425246951	143.35889944710874	3.5922490908589846	-0.4079746320578283	-0.4079746320578283	0.5569102187188608	0.288441233575499	0.3036394303320756	0.2224365448939854	0.2224365448939854	1.9585714732772206	-369.82531508077267	-197.02414197884565	-4.9088854650767395	244.45777172441046	-101.09887227730172
110000	-423.726760578658	-593.3888867255974	169.66212614693944	3.493146098260629	-0.3663182585782027	-0.3663182585782027	0.7327951897427911	0.22895961492424155	0.3021123731697835	0.1510234782972959	0.1510234782972959	1.440133167283349	-352.9201744554455	-235.38168377702678	-5.087028493125249	247.29762535708167	-77.63549921014221
120000	-488.2636261946384	-583.7682339598009	95.50460776516253	2.793435384037851	-0.24880456478386054	-0.24880456478386054	0.45165566052458284	0.22150590089165265	0.37645275143063267	0.20737736990298933	0.20737736990298936	2.328314528469191	-354.1480125513182	-225.37558787358807	-4.244633534894672	202.46354981701316	-106.95894205185063
130000	-475.88419870976213	-653.4445668261952	177.5603681164331	3.7790306019401405	-0.8199129935132023	-0.8199129935132023	0.8721874020464256	0.4516194732073092	0.3324181906109397	0.3124947610141589	0.3124947610141589	1.4403080255605947	-421.35118450655875	-226.75444380826673	-5.338938511369729	265.5747777820784	-88.01440966564529
140000	-539.4473844252632	-620.5623616471273	81.11497722186415	2.2204603939511256	-0.162645467274469	-0.162645467274469	0.45591419799954624	0.16165118418637883	0.4624411517591356	0.16497393050014886	0.16497393050014883	2.2522489242928216	-422.5790650174732	-194.12119242668481	-3.8621042029692925	191.5423881514846	-110.42741092962045
150000	-451.1835966960949	-624.1267993344621	172.9432026383672	3.550455900438183	-0.864509082066337	-0.864509082066337	0.9409121438667939	0.472991092263455	0.3628254986902285	0.33336368423719326	0.3333636842371933	1.3690926842118851	-399.70324097044596	-219.17038620904572	-5.253172154970468	240.24584782883466	-67.30264519046746
160000	-532.294551100746	-522.6822232067099	-9.612327894036213	1.880317786987172	-0.01640625239449084	-0.01640625239449084	0.5492148285172692	0.01614442694431565	0.5319636485895879	0.015890921785591563	0.015890921785591566	1.8212558338492564	-329.35720201263797	-189.56327338115375	-3.7617478129180792	79.58608897038866	-89.19841686442487
170000	-379.2137606124474	-566.774232114302	187.56047150185458	3.1895155505506327	-0.5849414066748165	-0.5849414066748165	0.7619585817543468	0.3752185672875701	0.3649013197950584	0.28012794449663786	0.2801279444966378	1.5274562971954462	-308.73249530383856	-253.16684287774612	-4.874893932717365	276.65843412782243	-89.09796262596784
180000	-448.3656315192881	-511.85108676247796	63.48545524318986	2.0031105451479774	-0.39435685205482773	-0.39435685205482773	0.4424360591628431	0.41890126795066246	0.6054704860940995	0.5396744455231962	0.5396744455231961	2.741242017582861	-302.6344159363906	-205.61972820890998	-3.5969426171773886	155.65553733113398	-92.17008208794412
190000	-634.7740467760037	-683.5614983176897	48.787451541685954	2.4068274405532617	-0.13551925872504686	-0.13551925872504686	0.5188524647453834	0.1212708993240269	0.421686294255754	0.11014039229840672	0.11014039229840672	1.9560977605031151	-484.6623023720264	-194.8016527883813	-4.09754315728206	157.30747096927786	-108.5200194275919
